Filename	"Image Type"	"Instance Number"	"Number of Frames"	"Pixel Spacing"	"Specimen Label in Image"	"Number of Optical Paths"	"Total Pixel Matrix Focal Planes"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.1.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"1"	"1"	"0.008000\0.008000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.2.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"4"	"0.004000\0.004000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.3.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"12"	"0.002000\0.002000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.4.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"35"	"0.001000\0.001000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.5.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"140"	"0.000500\0.000500"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.6.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"6"	"560"	"0.000250\0.000250"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.7.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"7"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104639 [Steiner 40x z1 Q]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.862753.8.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"8"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.1.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"1"	"1"	"0.008000\0.008000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.2.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"4"	"0.004000\0.004000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.3.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"12"	"0.002000\0.002000"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.4.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"35"	"0.001000\0.001000"	"NO"	"1"	"1"
